 Quarter , Client , New Client , Campaign , Channel , Client + Campaign + Channel , Campaign Budget , KPI Goal , KPI Type , KPI Target Value , CPM ,Impressions, Planned Campaign Reach , Maximum Reach to Maintain Performance , % of Maximum Campaign Reach Expected to Be Utilized , Signal Utilization (to total signals available) , Frequency , Last Updated , Note ,Enterprise?, Acct_ID ,COMMENTS, CLIENT_CODE , SUBACCOUNT , CAMPAIGN_TYPE , REMARKS 
Q2 2026 ,T-Mobile HINT,T-Mobile,HINT,Email,T-Mobile HINT Email," $44,31,404 ",CPIGA $600,CPIC,$600, $6.00 ,718799998," 8,80,00,000 "," 6,00,00,000 ",,100%, 9 ,20-05-2026,,,7252,,TMOBILE,NA,,1: SUB_ACCOUNT MISSING
Q2 2026 ,T-Mobile Metro,T-Mobile,Metro,Email,T-Mobile Metro Email," $5,00,000 ",CPIGA $80,CPIx,$80, $6.00 ,83333333.33," 1,66,66,667 "," 1,66,66,667 ",,100%, 5 ,03-06-2026,,,12663,,TMOBILE_METRO,CORE,EMAIL,
Q2 2026,Tonal,Tonal,,Email,Tonal Email," $1,50,000 ",CPIS - $650,CPIx,$650, $8.00 ,18750000," 62,50,000 "," 1,25,00,000 ",,50%, 3 ,20-05-2026,,,9710,,TONAL,CORE,EMAIL,
Q2 2026,Ulta Acquisition,Ulta,Acquisition,Email,Ulta Acquisition Email," $1,50,000 ",CPIC $25,CPIx,$25, $10.00 ," 1,50,00,000 "," 50,00,000 "," 4,70,00,000 ",,50%, 3 ,20-05-2026,,,7787,,ULTA,ACQUISITION,EMAIL,
Q2 2026,Ulta Reactivation,Ulta,Reactivation,Email,Ulta Reactivation Email," $1,50,000 ",CPIT $15,CPIx,$15, $10.00 ," 1,50,00,000 "," 15,00,000 "," 40,00,000 ",,80%, 6 ,20-05-2026,,,7787,,ULTA,REACTIVATION,EMAIL,
Q2 2026,Verizon Home,Verizon,Home,Email,Verizon Home Email," $49,697 ",Inc Take rate 0.02%,Inc Take rate,$0, $5.00 ,248485," 82,828 "," 82,828 ",,100%, 3 ,03-06-2026,,,6820,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Verizon Mobile,Verizon,Mobile,Email,Verizon Mobile Email," $9,51,282 ",CPIC $38,CPIC,$38, $5.00 ,4756410," 9,51,282 "," 9,51,282 ",,100%, 5 ,03-06-2026,,,6820,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,T-Mobile Prepaid,T-Mobile,,Email,T-Mobile Email," $5,00,000 ",CPIC$53,CPIC,$53.00, $6.00 ,83333333.33," 2,34,70,480 "," 2,34,70,480 ",,100%,,20-05-2026,,,,,TMOBILE_PREPAID,CORE,EMAIL,
Q2 2026,BDA AAA,BDA,AAA,Email,BDA AAA Email," $3,00,000 ",CPIC$151,CPIC,$151 , $9.00 ,33333333.33," 83,33,333 "," 1,66,66,667 ",,50%, 4 ,20-05-2026,,,,,,NA,,2: MANUAL ACCOUNTS
Q2 2026,Bread Caesars,Bread,Caesars,Email,Bread Caesars Email," $1,51,613 ",CPIA$263,CPIx,$263 , $7.50 ,20215066.67," 67,38,356 "," 2,69,53,424 ",,25%, 3 ,20-05-2026,,,,,BREADFINANCIAL,CAESARS,EMAIL,
